Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Region,Market,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Order Year,Order Month,Order Quarter,Days to Ship,Profit Margin %,Revenue per Unit,Discount Band
17,CA-2019-126210,2011-01-23,2011-01-31,Standard Class,CG-10849,Chris Wilson,Consumer,San Francisco,California,United States,North America,North America,FUR-CH-10020,Furniture,Chairs,Office Star,2536.01,4,0.4,-426.7,119.79,Medium,2011,1,1,8,-16.825643432005393,634.0025,High (31-50%)
18,CA-2016-112645,2011-01-24,2011-02-01,Standard Class,CG-11250,Michael Anderson,Corporate,San Francisco,California,United States,North America,North America,FUR-TA-10014,Furniture,Tables,Lifetime Folding Table,127.32,1,0.8,-90.91,6.89,Medium,2011,1,1,8,-71.40276468740183,127.32,Very High (>50%)
19,CA-2016-111281,2011-01-26,2011-01-30,Second Class,CG-10719,Thomas Williams,Consumer,Berlin,Berlin,Germany,Europe,Europe,FUR-CH-10077,Furniture,Chairs,HON Ignition,1753.08,5,0.5,-630.96,201.45,Critical,2011,1,1,4,-35.99151208159354,350.616,High (31-50%)
20,CA-2014-102954,2011-01-26,2011-01-29,First Class,CG-11577,Megan Anderson,Corporate,Lyon,Auvergne-Rhône-Alpes,France,Europe,Europe,OFF-AP-10035,Office Supplies,Appliances,Acco Thermal Laminator,420.7,2,0.0,160.38,40.39,Medium,2011,1,1,3,38.12217732350844,210.35,No Discount
21,CA-2017-117700,2011-01-27,2011-02-03,Standard Class,CG-10085,Thomas Jackson,Consumer,San Francisco,California,United States,North America,North America,FUR-CH-10022,Furniture,Chairs,Bush Industries Chair,909.63,5,0.8,-616.85,25.8,Low,2011,1,1,7,-67.81328672097446,181.926,Very High (>50%)
22,CA-2017-118076,2011-01-27,2011-02-05,Standard Class,CG-10362,John Johnson,Corporate,Shenzhen,Guangdong,China,Asia Pacific,Asia Pacific,OFF-LA-10079,Office Supplies,Labels,3M Post-it,261.8,4,0.0,118.26,15.47,Medium,2011,1,1,9,45.17188693659282,65.45,No Discount
23,CA-2019-126760,2011-01-27,2011-02-05,Standard Class,CG-10354,Rachel White,Consumer,Paris,Île-de-France,France,Europe,Europe,FUR-FU-10013,Furniture,Furnishings,Advantus Globe Weis,8.69,1,0.4,-1.84,1.11,Low,2011,1,1,9,-21.17376294591485,8.69,High (31-50%)
24,CA-2018-120633,2011-01-27,2011-02-05,Standard Class,CG-10118,Jessica Thomas,Corporate,Bangalore,Karnataka,India,Asia Pacific,Asia Pacific,OFF-AP-10055,Office Supplies,Appliances,Quartet Overhead,53.32,1,0.1,8.43,0.82,High,2011,1,1,9,15.810202550637658,53.32,Low (1-10%)
25,CA-2023-148217,2011-01-28,2011-02-01,First Class,CG-10669,Megan Davis,Consumer,Istanbul,Istanbul,Turkey,EMEA,EMEA,OFF-FA-10081,Office Supplies,Fasteners,Stanley Bostitch,90.4,2,0.0,47.8,0.71,Medium,2011,1,1,4,52.876106194690266,45.2,No Discount
26,CA-2017-116701,2011-01-28,2011-02-03,Second Class,CG-11331,James Wilson,Consumer,Beijing,Beijing,China,Asia Pacific,Asia Pacific,OFF-ST-10039,Office Supplies,Storage,Cardinal Recycled,315.6,4,0.0,123.48,34.52,Medium,2011,1,1,6,39.1254752851711,78.9,No Discount
27,CA-2020-133494,2011-01-28,2011-02-02,Second Class,CG-11395,David Garcia,Consumer,New Delhi,Delhi,India,Asia Pacific,Asia Pacific,FUR-CH-10048,Furniture,Chairs,Herman Miller Aeron,510.89,2,0.4,-117.48,57.1,Medium,2011,1,1,5,-22.99516529977099,255.445,High (31-50%)
28,CA-2022-142278,2011-01-28,2011-01-31,First Class,CG-10304,Lauren Anderson,Home Office,Brasília,Distrito Federal,Brazil,LATAM,LATAM,FUR-ST-10000,Furniture,Storage,Eldon Tower,555.6,5,0.5,-146.1,7.8,Critical,2011,1,1,3,-26.295896328293733,111.12,High (31-50%)
29,CA-2016-113107,2011-01-29,2011-01-31,First Class,CG-10826,David Wilson,Home Office,Kano,Kano,Nigeria,Africa,Africa,FUR-FU-10059,Furniture,Furnishings,Rubbermaid Durable,332.44,2,0.0,123.16,14.71,Medium,2011,1,1,2,37.0472867284322,166.22,No Discount
30,CA-2014-103649,2011-01-30,2011-01-30,Same Day,CG-10997,William Martinez,Consumer,Melbourne,Victoria,Australia,Oceania,Oceania,TEC-PH-10007,Technology,Phones,Samsung Galaxy S23,753.45,1,0.1,56.63,85.19,Medium,2011,1,1,0,7.516092640520274,753.45,Low (1-10%)
31,CA-2014-104967,2011-01-31,2011-02-07,Standard Class,CG-11006,Nicole Robinson,Corporate,Tokyo,Tokyo,Japan,Asia Pacific,Asia Pacific,OFF-BI-10015,Office Supplies,Binders,Ibico Standard,234.2,1,0.1,108.05,22.65,Critical,2011,1,1,7,46.13578138343296,234.2,Low (1-10%)
32,CA-2018-120400,2011-02-03,2011-02-11,Standard Class,CG-11272,William Miller,Home Office,Abuja,Abuja,Nigeria,Africa,Africa,TEC-CO-10027,Technology,Computers,Apple MacBook Pro,364.67,1,0.4,-81.93,49.6,Medium,2011,2,1,8,-22.466887871226042,364.67,High (31-50%)
33,CA-2020-130364,2011-02-03,2011-02-12,Standard Class,CG-11182,Chris Martinez,Corporate,Perth,Western Australia,Australia,Oceania,Oceania,OFF-BI-10054,Office Supplies,Binders,Cardinal Slant-D,857.36,4,0.0,315.2,15.91,Medium,2011,2,1,9,36.76401978165531,214.34,No Discount
34,CA-2019-129940,2011-02-03,2011-02-06,First Class,CG-10346,Megan Smith,Home Office,Shanghai,Shanghai,China,Asia Pacific,Asia Pacific,FUR-BO-10050,Furniture,Bookcases,Sauder Beginnings,91.66,1,0.3,-6.43,3.18,Medium,2011,2,1,3,-7.015055640410211,91.66,Medium (11-30%)
35,CA-2016-110494,2011-02-03,2011-02-12,Standard Class,CG-10980,Chris Harris,Corporate,Seattle,Washington,United States,North America,North America,FUR-FU-10086,Furniture,Furnishings,DAX Circular Frame,21.6,2,0.1,5.18,1.22,Medium,2011,2,1,9,23.981481481481477,10.8,Low (1-10%)
36,CA-2021-136910,2011-02-05,2011-02-14,Standard Class,CG-11548,Megan Brown,Corporate,Mumbai,Maharashtra,India,Asia Pacific,Asia Pacific,OFF-AP-10035,Office Supplies,Appliances,Acco Thermal Laminator,126.2,2,0.1,36.51,18.25,Low,2011,2,1,9,28.930269413629155,63.1,Low (1-10%)
37,CA-2023-148396,2011-02-05,2011-02-08,First Class,CG-10310,Nicole Williams,Corporate,São Paulo,São Paulo,Brazil,LATAM,LATAM,TEC-PH-10019,Technology,Phones,Apple iPhone 14,790.46,1,0.0,182.39,0.77,High,2011,2,1,3,23.073906333021277,790.46,No Discount
38,CA-2017-118697,2011-02-06,2011-02-15,Standard Class,CG-10304,Lauren Anderson,Consumer,Lyon,Auvergne-Rhône-Alpes,France,Europe,Europe,OFF-BI-10042,Office Supplies,Binders,Wilson Jones Round Ring,17.96,2,0.0,10.05,0.75,Medium,2011,2,1,9,55.95768374164811,8.98,No Discount
39,CA-2017-118563,2011-02-07,2011-02-16,Standard Class,CG-10667,Nicole Clark,Consumer,Kano,Kano,Nigeria,Africa,Africa,TEC-CO-10093,Technology,Copiers,Brother MFC,3918.27,1,0.2,237.53,72.35,Critical,2011,2,1,9,6.062114147315014,3918.27,Medium (11-30%)
40,CA-2015-105941,2011-02-07,2011-02-11,Second Class,CG-10776,Chris Jackson,Consumer,Sydney,New South Wales,Australia,Oceania,Oceania,FUR-FU-10009,Furniture,Furnishings,Eldon Stackables,114.39,1,0.1,18.19,9.12,Medium,2011,2,1,4,15.901739662557917,114.39,Low (1-10%)
41,CA-2019-129244,2011-02-07,2011-02-13,Second Class,CG-11456,Ashley Lewis,Consumer,São Paulo,São Paulo,Brazil,LATAM,LATAM,OFF-FA-10038,Office Supplies,Fasteners,Hunt Boston,66.22,4,0.3,1.08,4.46,Medium,2011,2,1,6,1.6309272123225613,16.555,Medium (11-30%)
42,CA-2021-139266,2011-02-07,2011-02-14,Standard Class,CG-11494,Kevin Robinson,Corporate,Paris,Île-de-France,France,Europe,Europe,TEC-CO-10074,Technology,Computers,Dell Inspiron 15,1811.92,2,0.1,264.72,80.02,Medium,2011,2,1,7,14.60991655260718,905.96,Low (1-10%)
43,CA-2023-147454,2011-02-08,2011-02-12,Second Class,CG-10408,Emily Thomas,Home Office,Houston,Texas,United States,North America,North America,FUR-BO-10080,Furniture,Bookcases,IKEA KALLAX,92.78,1,0.7,-36.83,1.73,Critical,2011,2,1,4,-39.696055184306964,92.78,Very High (>50%)
44,CA-2014-104705,2011-02-09,2011-02-18,Standard Class,CG-11039,Thomas Walker,Home Office,Seattle,Washington,United States,North America,North America,FUR-BO-10052,Furniture,Bookcases,O'Sullivan Lateral,105.75,1,0.3,-19.43,8.65,Low,2011,2,1,9,-18.37352245862884,105.75,Medium (11-30%)
45,CA-2019-129035,2011-02-09,2011-02-18,Standard Class,CG-11577,Megan Anderson,Consumer,Beijing,Beijing,China,Asia Pacific,Asia Pacific,OFF-FA-10065,Office Supplies,Fasteners,Cardinal Jumbo Binder,63.56,3,0.1,13.47,2.66,Medium,2011,2,1,9,21.19257394587791,21.186666666666667,Low (1-10%)
46,CA-2014-104601,2011-02-09,2011-02-17,Standard Class,CG-10678,William Jackson,Home Office,Rio de Janeiro,Rio de Janeiro,Brazil,LATAM,LATAM,FUR-TA-10091,Furniture,Tables,Bevis 36W,638.15,1,0.4,-216.95,77.8,Medium,2011,2,1,8,-33.996709237640054,638.15,High (31-50%)
47,CA-2018-121895,2011-02-09,2011-02-17,Standard Class,CG-11023,Chris Wilson,Corporate,Houston,Texas,United States,North America,North America,FUR-CH-10020,Furniture,Chairs,Office Star,190.27,1,0.4,-50.33,16.39,Critical,2011,2,1,8,-26.451884164608185,190.27,High (31-50%)
48,CA-2015-106215,2011-02-10,2011-02-13,First Class,CG-10932,Jessica Brown,Consumer,Munich,Bavaria,Germany,Europe,Europe,TEC-PH-10023,Technology,Phones,Cisco IP Phone,1348.52,2,0.0,358.64,124.76,High,2011,2,1,3,26.595082015839587,674.26,No Discount
49,CA-2016-114896,2011-02-10,2011-02-19,Standard Class,CG-10361,Robert Anderson,Consumer,Shenzhen,Guangdong,China,Asia Pacific,Asia Pacific,FUR-ST-10034,Furniture,Storage,Cardinal Hold-All,113.22,1,0.0,22.74,3.93,Critical,2011,2,1,9,20.084790673025964,113.22,No Discount
50,CA-2019-129733,2011-02-11,2011-02-16,Second Class,CG-11169,Nicole Clark,Home Office,San Francisco,California,United States,North America,North America,FUR-BO-10050,Furniture,Bookcases,Sauder Beginnings,428.85,2,0.5,-130.28,4.37,High,2011,2,1,5,-30.37892036842719,214.425,High (31-50%)
51,CA-2022-142067,2011-02-12,2011-02-20,Standard Class,CG-11390,Ashley Anderson,Consumer,Beijing,Beijing,China,Asia Pacific,Asia Pacific,FUR-FU-10013,Furniture,Furnishings,Advantus Globe Weis,26.38,3,0.2,4.11,0.63,High,2011,2,1,8,15.579984836997726,8.793333333333333,Medium (11-30%)
52,CA-2021-135385,2011-02-12,2011-02-19,Standard Class,CG-10322,Megan Miller,Consumer,Seattle,Washington,United States,North America,North America,FUR-CH-10022,Furniture,Chairs,Bush Industries Chair,442.23,3,0.0,41.04,59.59,Medium,2011,2,1,7,9.28023878977003,147.41,No Discount
53,CA-2016-114376,2011-02-12,2011-02-14,First Class,CG-10307,John Clark,Home Office,Montreal,Quebec,Canada,North America,North America,TEC-PH-10023,Technology,Phones,Cisco IP Phone,99.0,2,0.8,-50.8,0.86,Medium,2011,2,1,2,-51.31313131313131,49.5,Very High (>50%)
54,CA-2023-147191,2011-02-13,2011-02-20,Standard Class,CG-11178,John Miller,Home Office,Durban,KwaZulu-Natal,South Africa,Africa,Africa,TEC-PH-10023,Technology,Phones,Cisco IP Phone,5555.9,5,0.0,1045.45,127.38,Medium,2011,2,1,7,18.816933350132295,1111.1799999999998,No Discount
55,CA-2016-112749,2011-02-13,2011-02-21,Standard Class,CG-11217,Kevin Taylor,Corporate,Seattle,Washington,United States,North America,North America,TEC-AC-10046,Technology,Accessories,Plantronics Headset,659.83,3,0.1,123.81,55.56,Critical,2011,2,1,8,18.763924041040873,219.94333333333336,Low (1-10%)
56,CA-2019-128059,2011-02-15,2011-02-23,Standard Class,CG-10303,Jane Robinson,Consumer,Los Angeles,California,United States,North America,North America,TEC-PH-10007,Technology,Phones,Samsung Galaxy S23,421.78,3,0.5,-98.78,46.91,High,2011,2,1,8,-23.419792308786572,140.59333333333333,High (31-50%)
57,CA-2022-142601,2011-02-15,2011-02-23,Standard Class,CG-11324,Daniel Wilson,Consumer,Perth,Western Australia,Australia,Oceania,Oceania,OFF-AP-10067,Office Supplies,Appliances,Fellowes PB500,278.3,1,0.2,14.23,30.45,High,2011,2,1,8,5.113187208048868,278.3,Medium (11-30%)
58,CA-2017-116266,2011-02-15,2011-02-15,Same Day,CG-10289,Jane Thomas,Home Office,Atlanta,Georgia,United States,North America,North America,OFF-BI-10054,Office Supplies,Binders,Cardinal Slant-D,360.49,2,0.1,165.3,7.4,High,2011,2,1,0,45.85425393214791,180.245,Low (1-10%)
59,CA-2015-107610,2011-02-15,2011-02-23,Standard Class,CG-11412,Daniel Clark,Consumer,Hamburg,Hamburg,Germany,Europe,Europe,OFF-ST-10069,Office Supplies,Storage,Avery Recycled,120.17,1,0.0,55.45,13.41,Low,2011,2,1,8,46.1429641341433,120.17,No Discount
60,CA-2021-139845,2011-02-15,2011-02-17,First Class,CG-10972,Amanda Harris,Consumer,Melbourne,Victoria,Australia,Oceania,Oceania,OFF-PA-10017,Office Supplies,Paper,Xerox 4200,277.92,5,0.2,66.88,4.22,High,2011,2,1,2,24.06447898675878,55.584,Medium (11-30%)
61,CA-2020-133856,2011-02-16,2011-02-25,Standard Class,CG-10850,Megan White,Consumer,Beijing,Beijing,China,Asia Pacific,Asia Pacific,FUR-CH-10022,Furniture,Chairs,Bush Industries Chair,1812.07,4,0.4,-419.09,81.96,High,2011,2,1,9,-23.127693742515465,453.0175,High (31-50%)
62,CA-2020-133476,2011-02-16,2011-02-20,Second Class,CG-10110,Jane Brown,Consumer,Guangzhou,Guangdong,China,Asia Pacific,Asia Pacific,TEC-PH-10041,Technology,Phones,Nokia 3310,1786.59,3,0.1,278.5,176.58,Critical,2011,2,1,4,15.588355470477278,595.53,Low (1-10%)
63,CA-2017-115467,2011-02-16,2011-02-23,Standard Class,CG-10083,Lauren Smith,Consumer,Lagos,Lagos,Nigeria,Africa,Africa,OFF-AP-10005,Office Supplies,Appliances,Avery Thermal Print,2113.12,7,0.3,-219.13,161.25,Medium,2011,2,1,7,-10.369974256076324,301.8742857142857,Medium (11-30%)
64,CA-2020-133299,2011-02-16,2011-02-25,Standard Class,CG-10202,Kevin Martinez,Consumer,Brisbane,Queensland,Australia,Oceania,Oceania,TEC-PH-10033,Technology,Phones,Motorola Moto G,2245.08,5,0.2,315.23,305.57,Medium,2011,2,1,9,14.040925044987262,449.01599999999996,Medium (11-30%)
65,CA-2020-130695,2011-02-17,2011-02-21,Second Class,CG-11004,David Anderson,Corporate,Lagos,Lagos,Nigeria,Africa,Africa,FUR-CH-10004,Furniture,Chairs,Flash Furniture,1275.25,2,0.2,82.68,26.25,Medium,2011,2,1,4,6.483434620662616,637.625,Medium (11-30%)
66,CA-2016-114567,2011-02-17,2011-02-20,First Class,CG-11109,Chris Brown,Consumer,San Francisco,California,United States,North America,North America,OFF-LA-10078,Office Supplies,Labels,Avery File Folder,216.0,6,0.0,93.37,26.39,Low,2011,2,1,3,43.226851851851855,36.0,No Discount
67,CA-2014-100903,2011-02-17,2011-02-25,Standard Class,CG-11034,Emily Davis,Consumer,Manchester,England,United Kingdom,Europe,Europe,FUR-ST-10000,Furniture,Storage,Eldon Tower,95.25,3,0.8,-52.94,8.22,High,2011,2,1,8,-55.580052493438316,31.75,Very High (>50%)
68,CA-2018-124600,2011-02-17,2011-02-25,Standard Class,CG-11015,Michael White,Consumer,New York City,New York,United States,North America,North America,OFF-BI-10042,Office Supplies,Binders,Wilson Jones Round Ring,191.48,1,0.2,32.71,17.3,Medium,2011,2,1,8,17.08272404428661,191.48,Medium (11-30%)
69,CA-2016-110691,2011-02-17,2011-02-22,Second Class,CG-11302,Jessica Garcia,Consumer,Lagos,Lagos,Nigeria,Africa,Africa,TEC-CO-10094,Technology,Copiers,Xerox WorkCentre,12784.24,4,0.0,4071.91,401.13,Low,2011,2,1,5,31.851013435292202,3196.06,No Discount
70,CA-2019-126245,2011-02-17,2011-02-26,Standard Class,CG-11074,Chris Miller,Corporate,Dallas,Texas,United States,North America,North America,OFF-SU-10008,Office Supplies,Supplies,Dixon Ticonderoga,183.02,4,0.1,75.94,2.36,High,2011,2,1,9,41.49273303464102,45.755,Low (1-10%)
71,CA-2019-125246,2011-02-18,2011-02-25,Standard Class,CG-10459,Kevin Williams,Home Office,Munich,Bavaria,Germany,Europe,Europe,TEC-PH-10007,Technology,Phones,Samsung Galaxy S23,3044.82,5,0.3,-454.47,174.02,High,2011,2,1,7,-14.926005478156345,608.964,Medium (11-30%)
72,CA-2016-113647,2011-02-18,2011-02-26,Standard Class,CG-11370,Amanda White,Corporate,Chicago,Illinois,United States,North America,North America,OFF-ST-10047,Office Supplies,Storage,Rogers File Boxes,17.08,1,0.2,2.95,0.85,Low,2011,2,1,8,17.271662763466043,17.08,Medium (11-30%)
73,CA-2023-146129,2011-02-18,2011-02-26,Standard Class,CG-10837,William Jones,Home Office,Brasília,Distrito Federal,Brazil,LATAM,LATAM,OFF-AP-10055,Office Supplies,Appliances,Quartet Overhead,85.58,1,0.0,21.79,10.09,Medium,2011,2,1,8,25.461556438420192,85.58,No Discount
74,CA-2015-105079,2011-02-19,2011-02-26,Standard Class,CG-10017,Emily Harris,Corporate,San Francisco,California,United States,North America,North America,TEC-AC-10024,Technology,Accessories,APC Battery Backup,49.11,1,0.3,-2.89,3.18,Critical,2011,2,1,7,-5.884748523722257,49.11,Medium (11-30%)
75,CA-2017-119399,2011-02-19,2011-02-27,Standard Class,CG-11580,William Williams,Consumer,Rio de Janeiro,Rio de Janeiro,Brazil,LATAM,LATAM,FUR-CH-10048,Furniture,Chairs,Herman Miller Aeron,1666.01,3,0.2,151.39,240.21,Critical,2011,2,1,8,9.08698027022647,555.3366666666667,Medium (11-30%)
76,CA-2014-102645,2011-02-19,2011-02-26,Standard Class,CG-11196,William Williams,Consumer,Munich,Bavaria,Germany,Europe,Europe,FUR-ST-10066,Furniture,Storage,Advantus Plastic Rack,701.97,3,0.0,167.91,62.83,High,2011,2,1,7,23.91982563357408,233.99,No Discount
77,CA-2018-122063,2011-02-19,2011-02-28,Standard Class,CG-10751,William Taylor,Corporate,Philadelphia,Pennsylvania,United States,North America,North America,FUR-CH-10004,Furniture,Chairs,Flash Furniture,244.94,1,0.8,-150.57,32.46,Medium,2011,2,1,9,-61.4721972728015,244.94,Very High (>50%)
78,CA-2015-107268,2011-02-19,2011-02-27,Standard Class,CG-10932,Jessica Brown,Consumer,Sydney,New South Wales,Australia,Oceania,Oceania,FUR-TA-10012,Furniture,Tables,KI Adjustable Table,502.03,2,0.5,-232.61,1.37,High,2011,2,1,8,-46.333884429217385,251.015,High (31-50%)
79,CA-2019-128555,2011-02-19,2011-02-26,Standard Class,CG-10698,James Miller,Consumer,Houston,Texas,United States,North America,North America,OFF-SU-10060,Office Supplies,Supplies,Faber-Castell,53.21,2,0.3,4.86,7.09,Low,2011,2,1,7,9.1336214997181,26.605,Medium (11-30%)
80,CA-2015-105733,2011-02-20,2011-02-27,Standard Class,CG-10432,Rachel Miller,Home Office,Beijing,Beijing,China,Asia Pacific,Asia Pacific,OFF-AR-10071,Office Supplies,Art,Avery Hi-Liter,288.84,2,0.0,114.93,14.54,High,2011,2,1,7,39.790195263813885,144.42,No Discount
81,CA-2024-150451,2011-02-20,2011-02-27,Standard Class,CG-10442,Megan Harris,Home Office,Atlanta,Georgia,United States,North America,North America,OFF-AR-10049,Office Supplies,Art,Sanford Uni-Ball,11.95,2,0.1,6.46,1.06,Medium,2011,2,1,7,54.05857740585775,5.975,Low (1-10%)
82,CA-2015-106276,2011-02-20,2011-02-25,Second Class,CG-10932,Jessica Brown,Consumer,Yokohama,Kanagawa,Japan,Asia Pacific,Asia Pacific,OFF-ST-10069,Office Supplies,Storage,Avery Recycled,856.1,5,0.0,377.73,118.38,High,2011,2,1,5,44.12218198808551,171.22,No Discount
83,CA-2020-131344,2011-02-21,2011-02-26,Second Class,CG-10299,John White,Home Office,Dallas,Texas,United States,North America,North America,OFF-BI-10015,Office Supplies,Binders,Ibico Standard,514.62,2,0.1,188.74,9.58,Medium,2011,2,1,5,36.6756053009988,257.31,Low (1-10%)
84,CA-2018-120933,2011-02-21,2011-02-28,Standard Class,CG-10292,John Garcia,Consumer,Berlin,Berlin,Germany,Europe,Europe,OFF-FA-10030,Office Supplies,Fasteners,Swingline Optima,49.93,2,0.1,14.83,3.23,High,2011,2,1,7,29.70158221510114,24.965,Low (1-10%)
85,CA-2021-137430,2011-02-22,2011-02-28,Second Class,CG-10462,Robert Brown,Consumer,Sydney,New South Wales,Australia,Oceania,Oceania,TEC-MA-10088,Technology,Machines,Pitney Bowes,165.16,1,0.4,-28.79,12.49,Low,2011,2,1,6,-17.431581496730445,165.16,High (31-50%)
86,CA-2018-122294,2011-02-22,2011-02-26,Second Class,CG-10177,Robert Smith,Home Office,Bangalore,Karnataka,India,Asia Pacific,Asia Pacific,OFF-BI-10042,Office Supplies,Binders,Wilson Jones Round Ring,42.03,1,0.1,12.72,1.76,Medium,2011,2,1,4,30.264097073518915,42.03,Low (1-10%)
87,CA-2019-126896,2011-02-22,2011-02-27,Second Class,CG-11285,William Miller,Corporate,Philadelphia,Pennsylvania,United States,North America,North America,OFF-PA-10068,Office Supplies,Paper,Avery Dennison Paper,65.43,1,0.2,18.47,6.66,Medium,2011,2,1,5,28.228641296041566,65.43,Medium (11-30%)
88,CA-2015-109282,2011-02-22,2011-03-01,Standard Class,CG-11474,William Garcia,Consumer,Brisbane,Queensland,Australia,Oceania,Oceania,TEC-AC-10046,Technology,Accessories,Plantronics Headset,778.5,3,0.0,270.28,98.62,Medium,2011,2,1,7,34.71804752729608,259.5,No Discount
