order_id,order_date,year,month,quarter,region,segment,category,sub_category,sales,profit,quantity,discount,customer_id,customer_name,product_name,ship_mode,profit_margin
CA-2012-121776,2012-02-16,2012,2,1,West,Consumer,Office Supplies,Paper,37,17.3148,3,0.0,RD-195854,Rob Dowd,Xerox 1881,Standard Class,0.46796756756756763
CA-2012-131534,2012-03-28,2012,3,1,West,Consumer,Office Supplies,Paper,33,16.032,5,0.0,AB-101654,Alan Barnes,Xerox 1977,Standard Class,0.4858181818181818
US-2012-136987,2012-04-11,2012,4,2,West,Consumer,Office Supplies,Paper,53,24.2696,2,0.0,AR-105404,Andy Reiter,Staples,Second Class,0.45791698113207546
CA-2012-121965,2012-06-19,2012,6,2,West,Consumer,Office Supplies,Paper,6,3.1104,1,0.0,LH-171554,Logan Haushalter,Xerox 231,Standard Class,0.5184
CA-2012-112319,2012-08-31,2012,8,3,West,Consumer,Office Supplies,Paper,58,27.9936,9,0.0,AR-105104,Andrew Roberts,Xerox 226,Standard Class,0.482648275862069
CA-2012-137708,2012-11-22,2012,11,4,West,Consumer,Office Supplies,Paper,38,18.2112,2,0.0,NG-184304,Nathan Gelder,Xerox 1887,Second Class,0.4792421052631579
CA-2012-137708,2012-11-22,2012,11,4,West,Consumer,Office Supplies,Paper,43,19.26,10,0.0,NG-184304,Nathan Gelder,Xerox 1971,Second Class,0.44790697674418606
CA-2012-105347,2012-11-24,2012,11,4,West,Consumer,Office Supplies,Paper,369,180.7659,9,0.0,DP-130004,Darren Powers,Xerox 1919,Standard Class,0.48988048780487803
CA-2012-153416,2012-11-24,2012,11,4,West,Consumer,Office Supplies,Paper,19,9.3312,3,0.0,TS-213404,Toby Swindell,Xerox 225,Standard Class,0.49111578947368423
CA-2012-135545,2012-11-24,2012,11,4,West,Consumer,Office Supplies,Paper,147,68.9631,3,0.0,KM-167204,Kunst Miller,Xerox 1943,Standard Class,0.4691367346938775
CA-2012-158918,2012-12-20,2012,12,4,West,Consumer,Office Supplies,Paper,17,7.704,4,0.0,AI-108554,Arianne Irving,Staples,Second Class,0.4531764705882353
CA-2012-135580,2012-12-30,2012,12,4,West,Consumer,Office Supplies,Paper,69,31.5192,3,0.0,CL-125654,Clay Ludtke,Xerox 1929,Standard Class,0.45680000000000004
US-2013-119270,2013-03-13,2013,3,1,West,Consumer,Office Supplies,Paper,20,8.991,2,0.0,SW-202454,Scot Wooten,Hammermill Color Copier Paper (28Lb. and 96 Bright),Standard Class,0.44955
CA-2013-131380,2013-03-29,2013,3,1,West,Consumer,Office Supplies,Paper,6,2.9302,1,0.0,CC-122204,Chris Cortes,Xerox 1983,Second Class,0.48836666666666667
CA-2013-130477,2013-04-09,2013,4,2,West,Consumer,Office Supplies,Paper,20,9.6192,3,0.0,LC-171404,Logan Currie,Xerox 1923,Standard Class,0.48095999999999994
CA-2013-130477,2013-04-09,2013,4,2,West,Consumer,Office Supplies,Paper,13,6.2208,2,0.0,LC-171404,Logan Currie,Xerox 1931,Standard Class,0.4785230769230769
CA-2013-163594,2013-04-13,2013,4,2,West,Consumer,Office Supplies,Paper,19,9.3312,3,0.0,JF-152954,Jason Fortune-,Xerox 206,First Class,0.49111578947368423
US-2013-115819,2013-04-20,2013,4,2,West,Consumer,Office Supplies,Paper,23,10.224,4,0.0,JO-152804,Jas O'Carroll,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",Second Class,0.4445217391304348
CA-2013-111696,2013-05-09,2013,5,2,West,Consumer,Office Supplies,Paper,18,8.073,3,0.0,TB-216254,Trudy Brown,Xerox 1920,First Class,0.4485
CA-2013-162733,2013-05-12,2013,5,2,West,Consumer,Office Supplies,Paper,6,2.691,1,0.0,TT-210704,Ted Trevino,Xerox 1920,First Class,0.44849999999999995
CA-2013-133144,2013-05-17,2013,5,2,West,Consumer,Office Supplies,Paper,17,8.4966,3,0.0,DO-134354,Denny Ordway,Xerox 196,Second Class,0.4998
CA-2013-136994,2013-05-28,2013,5,2,West,Consumer,Office Supplies,Paper,13,6.1548,2,0.0,LS-172454,Lynn Smith,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",Standard Class,0.47344615384615385
CA-2013-134803,2013-05-29,2013,5,2,West,Consumer,Office Supplies,Paper,183,84.0512,8,0.0,CL-125654,Clay Ludtke,Xerox 1991,Standard Class,0.459296174863388
CA-2013-113243,2013-06-11,2013,6,2,West,Consumer,Office Supplies,Paper,32,15.552,5,0.0,OT-187304,Olvera Toch,Xerox 226,Standard Class,0.486
CA-2013-148593,2013-06-17,2013,6,2,West,Consumer,Office Supplies,Paper,46,21.7845,5,0.0,BD-113204,Bill Donatelli,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Second Class,0.47357608695652176
CA-2013-123512,2013-06-18,2013,6,2,West,Consumer,Office Supplies,Paper,220,107.7216,4,0.0,MV-181904,Mike Vittorini,Xerox 1914,First Class,0.48964363636363634
CA-2013-130029,2013-07-04,2013,7,3,West,Consumer,Office Supplies,Paper,13,6.2208,2,0.0,GT-147554,Guy Thornton,Xerox 200,First Class,0.4785230769230769
CA-2013-135265,2013-07-08,2013,7,3,West,Consumer,Office Supplies,Paper,49,24.47,1,0.0,CC-123704,Christopher Conant,Xerox 1942,Second Class,0.4993877551020408
CA-2013-136021,2013-08-15,2013,8,3,West,Consumer,Office Supplies,Paper,16,7.6146,3,0.0,JM-155804,Jill Matthias,Array Memo Cubes,Standard Class,0.4759125
CA-2013-167241,2013-08-16,2013,8,3,West,Consumer,Office Supplies,Paper,38,18.0096,4,0.0,BD-113204,Bill Donatelli,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",Standard Class,0.47393684210526316
US-2013-101497,2013-09-30,2013,9,3,West,Consumer,Office Supplies,Paper,19,9.1056,1,0.0,PS-187604,Pamela Stobb,Xerox 1887,Second Class,0.4792421052631579
CA-2013-155033,2013-10-08,2013,10,4,West,Consumer,Office Supplies,Paper,11,5.0688,2,0.0,CC-124754,Cindy Chapman,Astroparche Fine Business Paper,Standard Class,0.46080000000000004
US-2013-162026,2013-10-09,2013,10,4,West,Consumer,Office Supplies,Paper,62,27.882,2,0.0,JE-157454,Joel Eaton,Xerox 1925,Same Day,0.44970967741935486
CA-2013-109365,2013-11-04,2013,11,4,West,Consumer,Office Supplies,Paper,315,150.984,3,0.0,XP-218654,Xylona Preis,Multicolor Computer Printout Paper,Standard Class,0.47931428571428575
CA-2013-109365,2013-11-04,2013,11,4,West,Consumer,Office Supplies,Paper,116,56.9772,3,0.0,XP-218654,Xylona Preis,Xerox 1892,Standard Class,0.49118275862068966
CA-2013-109365,2013-11-04,2013,11,4,West,Consumer,Office Supplies,Paper,19,9.3312,3,0.0,XP-218654,Xylona Preis,Xerox 22,Standard Class,0.49111578947368423
CA-2013-158694,2013-11-11,2013,11,4,West,Consumer,Office Supplies,Paper,68,32.5008,3,0.0,AI-108554,Arianne Irving,Embossed Ink Jet Note Cards,Second Class,0.4779529411764706
CA-2013-158694,2013-11-11,2013,11,4,West,Consumer,Office Supplies,Paper,61,28.858,5,0.0,AI-108554,Arianne Irving,Xerox 1933,Second Class,0.47308196721311474
CA-2014-149076,2014-01-15,2014,1,1,West,Consumer,Office Supplies,Paper,155,69.705,5,0.0,SO-203354,Sean O'Donnell,Xerox 19,Standard Class,0.4497096774193548
CA-2014-104647,2014-02-24,2014,2,1,West,Consumer,Office Supplies,Paper,37,16.848,6,0.0,CK-125954,Clytie Kelty,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 Â¾â x 11â",Standard Class,0.4553513513513513
CA-2014-128965,2014-04-18,2014,4,2,West,Consumer,Office Supplies,Paper,28,13.5072,3,0.0,PS-187604,Pamela Stobb,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",Standard Class,0.4824
CA-2014-120222,2014-04-26,2014,4,2,West,Consumer,Office Supplies,Paper,19,8.763,3,0.0,LL-168404,Lauren Leatherbury,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Standard Class,0.46121052631578946
CA-2014-147844,2014-05-03,2014,5,2,West,Consumer,Office Supplies,Paper,16,7.065,5,0.0,DD-135704,Dorothy Dickinson,"Adams ""While You Were Out"" Message Pads",Standard Class,0.4415625
CA-2014-147844,2014-05-03,2014,5,2,West,Consumer,Office Supplies,Paper,34,15.824,5,0.0,DD-135704,Dorothy Dickinson,"Adams Phone Message Book, 200 Message Capacity, 8 1/16â x 11â",Standard Class,0.46541176470588236
US-2014-152002,2014-06-12,2014,6,2,West,Consumer,Office Supplies,Paper,123,60.2553,3,0.0,DV-134654,Dianna Vittorini,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Same Day,0.48988048780487803
CA-2014-112753,2014-06-19,2014,6,2,West,Consumer,Office Supplies,Paper,39,19.0512,6,0.0,CC-126704,Craig Carreira,Xerox 1930,Standard Class,0.4884923076923077
US-2014-113201,2014-07-01,2014,7,3,West,Consumer,Office Supplies,Paper,205,100.4255,5,0.0,TT-212204,Thomas Thornton,Xerox 1919,Standard Class,0.48988048780487803
CA-2014-133718,2014-07-24,2014,7,3,West,Consumer,Office Supplies,Paper,58,27.9936,9,0.0,TB-215204,Tracy Blumstein,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),First Class,0.482648275862069
CA-2014-105326,2014-08-21,2014,8,3,West,Consumer,Office Supplies,Paper,26,12.4416,4,0.0,KT-164804,Kean Thornton,Xerox 203,Standard Class,0.4785230769230769
CA-2014-137498,2014-09-10,2014,9,3,West,Consumer,Office Supplies,Paper,48,22.8096,9,0.0,LC-170504,Liz Carlisle,Astroparche Fine Business Paper,Second Class,0.4752
US-2014-109582,2014-09-13,2014,9,3,West,Consumer,Office Supplies,Paper,166,79.8912,3,0.0,JM-158654,John Murray,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Second Class,0.4812722891566265
CA-2014-121853,2014-09-24,2014,9,3,West,Consumer,Office Supplies,Paper,211,97.0784,8,0.0,DB-136604,Duane Benoit,Xerox 1909,Standard Class,0.4600872037914692
US-2014-115595,2014-10-10,2014,10,4,West,Consumer,Office Supplies,Paper,35,16.544,5,0.0,XP-218654,Xylona Preis,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",First Class,0.4726857142857143
CA-2014-110842,2014-11-12,2014,11,4,West,Consumer,Office Supplies,Paper,19,9.3312,3,0.0,GA-147254,Guy Armstrong,Xerox 201,Standard Class,0.49111578947368423
US-2014-125808,2014-11-13,2014,11,4,West,Consumer,Office Supplies,Paper,12,5.6644,2,0.0,EP-139154,Emily Phan,Xerox 1899,Second Class,0.4720333333333333
CA-2014-118542,2014-12-02,2014,12,4,West,Consumer,Office Supplies,Paper,45,21.7728,7,0.0,CC-125504,Clay Cheatham,Xerox 1905,Standard Class,0.48384
CA-2014-102099,2014-12-19,2014,12,4,West,Consumer,Office Supplies,Paper,13,6.2208,2,0.0,EP-139154,Emily Phan,Xerox 1996,First Class,0.4785230769230769
CA-2014-102099,2014-12-19,2014,12,4,West,Consumer,Office Supplies,Paper,32,15.552,5,0.0,EP-139154,Emily Phan,Xerox 213,First Class,0.486
CA-2011-164903,2011-02-21,2011,2,1,West,Home Office,Office Supplies,Paper,13,6.2208,2,0.0,SR-207404,Steven Roelle,Xerox 204,Standard Class,0.4785230769230769
CA-2011-102652,2011-04-06,2011,4,2,West,Corporate,Office Supplies,Paper,55,26.6304,1,0.0,AY-105554,Andy Yotov,Xerox 194,Standard Class,0.48418909090909096
CA-2011-102652,2011-04-06,2011,4,2,West,Corporate,Office Supplies,Paper,19,9.3312,3,0.0,AY-105554,Andy Yotov,Xerox 211,Standard Class,0.49111578947368423
CA-2011-113768,2011-05-13,2011,5,2,West,Corporate,Office Supplies,Paper,8,3.84,2,0.0,AH-100304,Aaron Hawkins,EcoTones Memo Sheets,Standard Class,0.48
CA-2011-146528,2011-07-25,2011,7,3,West,Home Office,Office Supplies,Paper,6,3.1752,1,0.0,VF-217154,Vicky Freymann,Xerox 1966,Second Class,0.5292
CA-2011-104178,2011-08-25,2011,8,3,West,Corporate,Office Supplies,Paper,26,12.4416,4,0.0,JM-152654,Janet Molinari,Xerox 23,Standard Class,0.4785230769230769
CA-2011-106439,2011-10-31,2011,10,4,West,Corporate,Office Supplies,Paper,65,30.4278,13,0.0,GG-146504,Greg Guthrie,Xerox 1952,Standard Class,0.46812000000000004
CA-2011-168305,2011-11-01,2011,11,4,West,Home Office,Office Supplies,Paper,21,9.63,5,0.0,PL-189254,Paul Lucas,Staples,Standard Class,0.45857142857142863
CA-2011-140732,2011-11-11,2011,11,4,West,Home Office,Office Supplies,Paper,124,55.764,4,0.0,MA-175604,Matt Abelman,Xerox 1979,Second Class,0.44970967741935486
CA-2012-163104,2012-03-19,2012,3,1,West,Corporate,Office Supplies,Paper,12,5.8604,2,0.0,MC-181304,Mike Caudle,Xerox 1974,Standard Class,0.48836666666666667
US-2012-107944,2012-03-23,2012,3,1,West,Corporate,Office Supplies,Paper,193,92.5056,11,0.0,AM-103604,Alice McCarthy,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",First Class,0.4793036269430052
CA-2012-138219,2012-03-23,2012,3,1,West,Corporate,Office Supplies,Paper,33,16.68,4,0.0,BP-110954,Bart Pistole,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Standard Class,0.5054545454545455
CA-2012-142601,2012-04-18,2012,4,2,West,Home Office,Office Supplies,Paper,62,27.882,2,0.0,DE-132554,Deanra Eno,Xerox 19,Second Class,0.44970967741935486
CA-2012-165554,2012-05-18,2012,5,2,West,Corporate,Office Supplies,Paper,11,5.3214,2,0.0,AJ-107804,Anthony Jacobs,"Wirebound Message Book, 4 per Page",Standard Class,0.48376363636363634
CA-2012-161242,2012-06-01,2012,6,2,West,Home Office,Office Supplies,Paper,12,5.7624,2,0.0,CG-120404,Catherine Glotzbach,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Standard Class,0.4802
CA-2012-133025,2012-09-17,2012,9,3,West,Home Office,Office Supplies,Paper,32,15.552,5,0.0,MO-178004,Meg O'Connel,Xerox 216,Second Class,0.486
CA-2012-132815,2012-09-19,2012,9,3,West,Corporate,Office Supplies,Paper,23,11.2504,2,0.0,RW-195404,Rick Wilson,Personal Creations Ink Jet Cards and Labels,Second Class,0.48914782608695656
CA-2012-153220,2012-11-12,2012,11,4,West,Corporate,Office Supplies,Paper,16,7.065,5,0.0,YC-218954,Yoseph Carroll,"Adams ""While You Were Out"" Message Pads",First Class,0.4415625
CA-2012-125234,2012-11-27,2012,11,4,West,Home Office,Office Supplies,Paper,114,53.4954,3,0.0,SN-207104,Steve Nguyen,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Standard Class,0.4692578947368421
CA-2012-141593,2012-12-14,2012,12,4,West,Corporate,Office Supplies,Paper,6,3.1104,1,0.0,DB-129703,Darren Budd,Xerox 23,Second Class,0.5184
CA-2012-144890,2012-12-25,2012,12,4,West,Home Office,Office Supplies,Paper,10,4.8804,2,0.0,SM-203204,Sean Miller,Xerox 1949,Standard Class,0.48804
CA-2013-129238,2013-01-31,2013,1,1,West,Home Office,Office Supplies,Paper,57,27.783,5,0.0,SC-200504,Sample Company A,Staples,Standard Class,0.487421052631579
CA-2013-154067,2013-02-01,2013,2,1,West,Corporate,Office Supplies,Paper,106,48.5392,4,0.0,SM-209504,Suzanne McNair,Xerox 1883,Standard Class,0.45791698113207546
CA-2013-112942,2013-02-13,2013,2,1,West,Home Office,Office Supplies,Paper,147,73.41,3,0.0,RD-198104,Ross DeVincentis,Tops Green Bar Computer Printout Paper,Standard Class,0.4993877551020408
CA-2013-159016,2013-03-11,2013,3,1,West,Home Office,Office Supplies,Paper,15,7.152,5,0.0,KF-162854,Karen Ferguson,Rediform Voice Mail Log Books,First Class,0.4768
US-2013-159093,2013-05-10,2013,5,2,West,Corporate,Office Supplies,Paper,32,14.418,4,0.0,RS-194204,Ricardo Sperren,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Standard Class,0.4505625
CA-2013-147473,2013-05-31,2013,5,2,West,Home Office,Office Supplies,Paper,39,18.6624,6,0.0,NL-183104,Nancy Lomonaco,Xerox 228,Standard Class,0.47852307692307694
US-2013-155971,2013-06-07,2013,6,2,West,Home Office,Office Supplies,Paper,100,46.953,5,0.0,RB-197954,Ross Baird,Xerox Blank Computer Paper,Standard Class,0.46953
CA-2013-144015,2013-06-27,2013,6,2,West,Corporate,Office Supplies,Paper,12,5.616,2,0.0,AH-100754,Adam Hart,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 Â¾â x 11â",Same Day,0.46799999999999997
US-2013-126452,2013-08-22,2013,8,3,West,Corporate,Office Supplies,Paper,48,21.384,9,0.0,SC-202304,Scot Coram,Xerox 1928,Standard Class,0.4455
US-2013-126452,2013-08-22,2013,8,3,West,Corporate,Office Supplies,Paper,13,6.2208,2,0.0,SC-202304,Scot Coram,Xerox 1997,Standard Class,0.4785230769230769
CA-2013-109806,2013-09-18,2013,9,3,West,Corporate,Office Supplies,Paper,6,3.1104,1,0.0,JS-156854,Jim Sink,Xerox 1995,Standard Class,0.5184
CA-2013-155187,2013-09-25,2013,9,3,West,Corporate,Office Supplies,Paper,42,20.85,5,0.0,LA-167804,Laura Armstrong,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Second Class,0.49642857142857144
CA-2013-119018,2013-11-05,2013,11,4,West,Home Office,Office Supplies,Paper,39,18.6624,6,0.0,CW-119054,Carl Weiss,Xerox 229,Standard Class,0.47852307692307694
CA-2013-152646,2013-11-22,2013,11,4,West,Corporate,Office Supplies,Paper,32,15.552,5,0.0,TH-212354,Tiffany House,Xerox 222,Standard Class,0.486
US-2013-103674,2013-12-07,2013,12,4,West,Home Office,Office Supplies,Paper,13,6.4128,2,0.0,AP-107204,Anne Pryor,Xerox 1977,Standard Class,0.4932923076923077
CA-2013-145919,2013-12-19,2013,12,4,West,Corporate,Office Supplies,Paper,39,18.6624,6,0.0,HG-149654,Henry Goldwyn,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Standard Class,0.47852307692307694
US-2013-116729,2013-12-26,2013,12,4,West,Corporate,Office Supplies,Paper,45,21.7728,7,0.0,GK-146204,Grace Kelly,Xerox 225,First Class,0.48384
CA-2014-117212,2014-02-27,2014,2,1,West,Home Office,Office Supplies,Paper,224,109.7208,4,0.0,BT-115304,Bradley Talbott,Xerox 1908,Second Class,0.489825
CA-2014-117212,2014-02-27,2014,2,1,West,Home Office,Office Supplies,Paper,23,11.3288,4,0.0,BT-115304,Bradley Talbott,Xerox 1924,Second Class,0.4925565217391304
CA-2014-134635,2014-04-16,2014,4,2,West,Corporate,Office Supplies,Paper,79,36.4044,3,0.0,NS-186404,Noel Staavos,Xerox 1883,Second Class,0.46081518987341774
CA-2014-120614,2014-05-31,2014,5,2,West,Corporate,Office Supplies,Paper,38,18.0096,4,0.0,SM-209504,Suzanne McNair,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",Standard Class,0.47393684210526316
CA-2014-145772,2014-06-04,2014,6,2,West,Corporate,Office Supplies,Paper,12,5.382,2,0.0,SS-201404,Saphhira Shifley,Xerox 1947,Standard Class,0.44849999999999995
CA-2014-113670,2014-10-16,2014,10,4,West,Corporate,Office Supplies,Paper,205,100.4255,5,0.0,RS-197654,Roland Schwarz,Xerox 1919,First Class,0.48988048780487803
CA-2014-109701,2014-12-03,2014,12,4,West,Corporate,Office Supplies,Paper,11,5.3214,2,0.0,AM-103604,Alice McCarthy,"Wirebound Message Book, 4 per Page",Same Day,0.48376363636363634
CA-2014-153227,2014-12-05,2014,12,4,West,Corporate,Office Supplies,Paper,12,5.7624,2,0.0,CS-122504,Chris Selesnick,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",First Class,0.4802
CA-2014-161578,2014-12-17,2014,12,4,West,Home Office,Office Supplies,Paper,13,6.4128,2,0.0,RB-194654,Rick Bensley,Xerox 1898,Second Class,0.4932923076923077
CA-2011-153808,2011-04-06,2011,4,2,West,Corporate,Office Supplies,Art,71,18.447,3,0.0,FH-142754,Frank Hawley,Boston Home & Office Model 2000 Electric Pencil Sharpeners,Second Class,0.2598169014084507
CA-2011-110849,2011-04-18,2011,4,2,West,Consumer,Office Supplies,Art,11,3.5475,5,0.0,JL-158354,John Lee,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",Standard Class,0.3225
CA-2011-110849,2011-04-18,2011,4,2,West,Consumer,Office Supplies,Art,13,3.8048,4,0.0,JL-158354,John Lee,Newell 351,Standard Class,0.2926769230769231
CA-2011-116785,2011-04-26,2011,4,2,West,Home Office,Office Supplies,Art,21,6.206,5,0.0,MH-172904,Marc Harrigan,Newell 347,Standard Class,0.2955238095238095
US-2011-154879,2011-05-06,2011,5,2,West,Home Office,Office Supplies,Art,108,30.2232,6,0.0,SN-207104,Steve Nguyen,Model L Table or Wall-Mount Pencil Sharpener,Standard Class,0.27984444444444445
CA-2011-115812,2011-06-09,2011,6,2,West,Consumer,Office Supplies,Art,7,1.9656,4,0.0,BH-117104,Brosina Hoffman,Newell 322,Standard Class,0.2808
CA-2011-114643,2011-06-13,2011,6,2,West,Corporate,Office Supplies,Art,15,4.7916,3,0.0,FM-142154,Filia McAdams,Staples,Standard Class,0.31944
CA-2011-109218,2011-06-30,2011,6,2,West,Corporate,Office Supplies,Art,32,10.368,5,0.0,AR-108254,Anthony Rawles,"BIC Brite Liner Highlighters, Chisel Tip",Second Class,0.324
CA-2011-122679,2011-07-22,2011,7,3,West,Home Office,Office Supplies,Art,20,6.4944,6,0.0,AB-102554,Alejandro Ballentine,Crayola Colored Pencils,Standard Class,0.32472
CA-2011-106439,2011-10-31,2011,10,4,West,Corporate,Office Supplies,Art,12,3.717,3,0.0,GG-146504,Greg Guthrie,Newell 325,Standard Class,0.30975
CA-2011-153619,2011-11-03,2011,11,4,West,Home Office,Office Supplies,Art,7,3.36,4,0.0,TC-215354,Tracy Collins,Prang Dustless Chalk Sticks,Same Day,0.48
CA-2011-105270,2011-11-11,2011,11,4,West,Consumer,Office Supplies,Art,30,7.9248,3,0.0,AP-109154,Arthur Prichep,50 Colored Long Pencils,Standard Class,0.26416
US-2011-144078,2011-11-25,2011,11,4,West,Consumer,Office Supplies,Art,7,2.604,3,0.0,RB-194354,Richard Bierner,Staples,Standard Class,0.372
CA-2011-133830,2011-12-05,2011,12,4,West,Consumer,Office Supplies,Art,26,11.907,9,0.0,RL-196154,Rob Lucas,Prang Colored Pencils,Standard Class,0.4579615384615385
CA-2011-138737,2011-12-07,2011,12,4,West,Consumer,Office Supplies,Art,9,2.4192,3,0.0,FP-143204,Frank Preis,Newell 32,First Class,0.2688
CA-2011-156594,2011-12-20,2011,12,4,West,Consumer,Office Supplies,Art,47,12.298,2,0.0,MC-178454,Michael Chen,Boston Home & Office Model 2000 Electric Pencil Sharpeners,Second Class,0.26165957446808513
CA-2011-156594,2011-12-20,2011,12,4,West,Consumer,Office Supplies,Art,4,1.1564,1,0.0,MC-178454,Michael Chen,Newell 31,Second Class,0.2891
CA-2012-151253,2012-04-22,2012,4,2,West,Consumer,Office Supplies,Art,64,16.6764,3,0.0,AZ-107504,Annie Zypern,Boston 1730 StandUp Electric Pencil Sharpener,Standard Class,0.26056875
CA-2012-115945,2012-06-25,2012,6,2,West,Consumer,Office Supplies,Art,21,5.24,2,0.0,AB-101654,Alan Barnes,Staples,Standard Class,0.24952380952380954
CA-2012-153388,2012-08-01,2012,8,3,West,Home Office,Office Supplies,Art,7,3.36,4,0.0,PC-190004,Pauline Chand,Prang Dustless Chalk Sticks,Standard Class,0.48
CA-2012-167745,2012-09-18,2012,9,3,West,Corporate,Office Supplies,Art,12,5.4896,2,0.0,GB-145304,George Bell,"Quartet Omega Colored Chalk, 12/Pack",Standard Class,0.4574666666666667
CA-2012-144652,2012-11-20,2012,11,4,West,Home Office,Office Supplies,Art,19,5.0596,7,0.0,SN-205604,Skye Norling,Newell 333,Standard Class,0.26629473684210525
CA-2012-105347,2012-11-24,2012,11,4,West,Consumer,Office Supplies,Art,15,6.615,5,0.0,DP-130004,Darren Powers,Prang Colored Pencils,Standard Class,0.441
CA-2012-115693,2012-12-10,2012,12,4,West,Home Office,Office Supplies,Art,56,15.764,2,0.0,FC-142454,Frank Carlisle,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Standard Class,0.2815
