customer_id,customer_name,segment,total_orders,total_spent,total_profit,avg_discount,value_segment,segment_threshold_high,segment_threshold_low
AB-101651,Alan Barnes,Consumer,5,3435.0,578.78,0.14,Mid Value,3763.0,728.0
AB-101652,Alan Barnes,Consumer,11,6437.0,1322.79,0.039,High Value,3763.0,728.0
AB-101653,Alan Barnes,Consumer,5,668.0,207.08,0.0,Low Value,3763.0,728.0
AB-101654,Alan Barnes,Consumer,8,1114.0,220.81,0.136,Mid Value,3763.0,728.0
AB-102551,Alejandro Ballentine,Home Office,7,4277.0,-879.94,0.169,High Value,3763.0,728.0
AB-102552,Alejandro Ballentine,Home Office,6,949.0,262.75,0.1,Mid Value,3763.0,728.0
AB-102553,Alejandro Ballentine,Home Office,9,4644.0,309.38,0.16,High Value,3763.0,728.0
AB-102554,Alejandro Ballentine,Home Office,9,914.0,264.57,0.1,Mid Value,3763.0,728.0
AB-1051,Adrian Barton,Consumer,2,97.0,10.41,0.0,Low Value,3763.0,728.0
AB-1052,Adrian Barton,Consumer,1,64.0,25.02,0.0,Low Value,3763.0,728.0
AB-1053,Adrian Barton,Consumer,4,1996.0,-530.76,0.382,Mid Value,3763.0,728.0
AB-106001,Ann Blume,Corporate,9,7148.0,1608.96,0.116,High Value,3763.0,728.0
AB-106002,Ann Blume,Corporate,6,4276.0,-503.3,0.233,High Value,3763.0,728.0
AB-106003,Ann Blume,Corporate,3,377.0,74.66,0.0,Low Value,3763.0,728.0
AB-106004,Ann Blume,Corporate,4,1515.0,-274.96,0.375,Mid Value,3763.0,728.0
AB-1501,Aimee Bixby,Consumer,4,3145.0,862.14,0.075,Mid Value,3763.0,728.0
AB-151,Aaron Bergman,Consumer,2,2125.0,386.64,0.0,Mid Value,3763.0,728.0
AB-152,Aaron Bergman,Consumer,3,2481.0,577.08,0.0,Mid Value,3763.0,728.0
AB-1651,Alan Barnes,Consumer,1,160.0,35.22,0.0,Low Value,3763.0,728.0
AB-1652,Alan Barnes,Consumer,1,411.0,78.0,0.0,Low Value,3763.0,728.0
AB-1653,Alan Barnes,Consumer,4,828.0,-6.62,0.24,Mid Value,3763.0,728.0
AB-2551,Alejandro Ballentine,Home Office,5,4083.0,787.2,0.0,High Value,3763.0,728.0
AB-2552,Alejandro Ballentine,Home Office,1,283.0,57.96,0.0,Low Value,3763.0,728.0
AB-2553,Alejandro Ballentine,Home Office,2,313.0,-43.31,0.3,Low Value,3763.0,728.0
AB-6001,Ann Blume,Corporate,3,1384.0,253.56,0.0,Mid Value,3763.0,728.0
AB-6002,Ann Blume,Corporate,2,4027.0,711.09,0.0,High Value,3763.0,728.0
AB-601,Adam Bellavance,Home Office,3,1483.0,686.0,0.14,Mid Value,3763.0,728.0
AB-602,Adam Bellavance,Home Office,6,287.0,-220.08,0.217,Low Value,3763.0,728.0
AC-104201,Alyssa Crouse,Corporate,5,4086.0,709.75,0.174,High Value,3763.0,728.0
AC-104202,Alyssa Crouse,Corporate,7,1033.0,214.28,0.025,Mid Value,3763.0,728.0
AC-104203,Alyssa Crouse,Corporate,9,4561.0,-655.41,0.12,High Value,3763.0,728.0
AC-104204,Alyssa Crouse,Corporate,3,926.0,-62.13,0.32,Mid Value,3763.0,728.0
AC-104501,Amy Cox,Consumer,5,7610.0,2310.45,0.121,High Value,3763.0,728.0
AC-104502,Amy Cox,Consumer,4,2295.0,614.19,0.017,Mid Value,3763.0,728.0
AC-104503,Amy Cox,Consumer,3,694.0,-185.05,0.3,Low Value,3763.0,728.0
AC-104504,Amy Cox,Consumer,7,5529.0,1366.01,0.189,High Value,3763.0,728.0
AC-106151,Ann Chong,Corporate,11,5753.0,1253.52,0.058,High Value,3763.0,728.0
AC-106152,Ann Chong,Corporate,5,2738.0,-394.92,0.173,Mid Value,3763.0,728.0
AC-106153,Ann Chong,Corporate,8,1699.0,3.25,0.192,Mid Value,3763.0,728.0
AC-106154,Ann Chong,Corporate,5,2538.0,298.83,0.111,Mid Value,3763.0,728.0
AC-106601,Anna Chung,Consumer,4,1175.0,-38.55,0.248,Mid Value,3763.0,728.0
AC-106602,Anna Chung,Consumer,6,2234.0,-87.88,0.15,Mid Value,3763.0,728.0
AC-106603,Anna Chung,Consumer,6,2189.0,-843.87,0.28,Mid Value,3763.0,728.0
AC-106604,Anna Chung,Consumer,5,658.0,-28.7,0.183,Low Value,3763.0,728.0
AC-4201,Alyssa Crouse,Corporate,6,841.0,150.16,0.093,Mid Value,3763.0,728.0
AC-4202,Alyssa Crouse,Corporate,3,849.0,87.4,0.2,Mid Value,3763.0,728.0
AC-4501,Amy Cox,Consumer,3,670.0,81.78,0.0,Low Value,3763.0,728.0
AC-4502,Amy Cox,Consumer,2,147.0,34.32,0.0,Low Value,3763.0,728.0
AC-4503,Amy Cox,Consumer,2,210.0,-241.29,0.525,Low Value,3763.0,728.0
AC-6151,Ann Chong,Corporate,3,1706.0,-438.86,0.3,Mid Value,3763.0,728.0
AC-6152,Ann Chong,Corporate,4,593.0,158.31,0.0,Low Value,3763.0,728.0
AC-6601,Anna Chung,Consumer,3,2666.0,726.12,0.0,Mid Value,3763.0,728.0
AC-6602,Anna Chung,Consumer,1,10.0,0.75,0.0,Low Value,3763.0,728.0
AD-101801,Alan Dominguez,Home Office,8,9209.0,-25.88,0.127,High Value,3763.0,728.0
AD-101802,Alan Dominguez,Home Office,5,1001.0,119.88,0.058,Mid Value,3763.0,728.0
AD-101803,Alan Dominguez,Home Office,6,1541.0,86.82,0.14,Mid Value,3763.0,728.0
AD-101804,Alan Dominguez,Home Office,8,6106.0,1869.93,0.058,High Value,3763.0,728.0
AD-1801,Alan Dominguez,Home Office,1,12.0,3.45,0.0,Low Value,3763.0,728.0
AD-1802,Alan Dominguez,Home Office,2,669.0,-514.21,0.6,Low Value,3763.0,728.0
AF-108701,Art Ferguson,Consumer,14,10793.0,-411.63,0.229,High Value,3763.0,728.0
AF-108702,Art Ferguson,Consumer,6,7808.0,-172.3,0.128,High Value,3763.0,728.0
AF-108703,Art Ferguson,Consumer,9,5832.0,2002.03,0.02,High Value,3763.0,728.0
AF-108704,Art Ferguson,Consumer,7,2052.0,317.97,0.2,Mid Value,3763.0,728.0
AF-108851,Art Foster,Consumer,10,8347.0,1099.39,0.133,High Value,3763.0,728.0
AF-108852,Art Foster,Consumer,13,5880.0,921.48,0.096,High Value,3763.0,728.0
AF-108853,Art Foster,Consumer,8,4621.0,1025.16,0.134,High Value,3763.0,728.0
AF-108854,Art Foster,Consumer,4,862.0,-163.12,0.257,Mid Value,3763.0,728.0
AF-8701,Art Ferguson,Consumer,4,672.0,201.33,0.0,Low Value,3763.0,728.0
AF-8702,Art Ferguson,Consumer,1,125.0,43.8,0.0,Low Value,3763.0,728.0
AF-8703,Art Ferguson,Consumer,4,901.0,297.1,0.117,Mid Value,3763.0,728.0
AF-8851,Art Foster,Consumer,1,139.0,32.46,0.0,Low Value,3763.0,728.0
AF-8852,Art Foster,Consumer,1,215.0,55.86,0.0,Low Value,3763.0,728.0
AG-102701,Alejandro Grove,Consumer,7,4771.0,891.4,0.052,High Value,3763.0,728.0
AG-102702,Alejandro Grove,Consumer,4,1663.0,249.21,0.017,Mid Value,3763.0,728.0
AG-102703,Alejandro Grove,Consumer,9,1622.0,278.65,0.067,Mid Value,3763.0,728.0
AG-102704,Alejandro Grove,Consumer,5,2584.0,732.74,0.014,Mid Value,3763.0,728.0
AG-103001,Aleksandra Gannaway,Corporate,5,3212.0,385.78,0.208,Mid Value,3763.0,728.0
AG-103002,Aleksandra Gannaway,Corporate,7,6071.0,1280.6,0.032,High Value,3763.0,728.0
AG-103003,Aleksandra Gannaway,Corporate,8,3364.0,120.1,0.2,Mid Value,3763.0,728.0
AG-103004,Aleksandra Gannaway,Corporate,4,367.0,59.29,0.08,Low Value,3763.0,728.0
AG-103301,Alex Grayson,Consumer,5,4208.0,259.66,0.269,High Value,3763.0,728.0
AG-103302,Alex Grayson,Consumer,9,3590.0,661.54,0.082,Mid Value,3763.0,728.0
AG-103303,Alex Grayson,Consumer,10,6078.0,13.4,0.25,High Value,3763.0,728.0
AG-103304,Alex Grayson,Consumer,5,662.0,-5.14,0.233,Low Value,3763.0,728.0
AG-103901,Allen Goldenen,Consumer,2,2228.0,377.23,0.029,Mid Value,3763.0,728.0
AG-103902,Allen Goldenen,Consumer,4,2646.0,28.84,0.256,Mid Value,3763.0,728.0
AG-103903,Allen Goldenen,Consumer,8,3380.0,520.39,0.058,Mid Value,3763.0,728.0
AG-103904,Allen Goldenen,Consumer,5,201.0,69.28,0.225,Low Value,3763.0,728.0
AG-104951,Andrew Gjertsen,Corporate,6,3451.0,463.53,0.102,Mid Value,3763.0,728.0
AG-104952,Andrew Gjertsen,Corporate,11,7461.0,1669.55,0.135,High Value,3763.0,728.0
AG-104953,Andrew Gjertsen,Corporate,4,2110.0,320.31,0.12,Mid Value,3763.0,728.0
AG-104954,Andrew Gjertsen,Corporate,8,2356.0,295.67,0.205,Mid Value,3763.0,728.0
AG-105251,Andy Gerbode,Corporate,3,324.0,13.26,0.167,Low Value,3763.0,728.0
AG-105252,Andy Gerbode,Corporate,8,4071.0,151.72,0.129,High Value,3763.0,728.0
AG-105253,Andy Gerbode,Corporate,5,2620.0,23.82,0.114,Mid Value,3763.0,728.0
AG-105254,Andy Gerbode,Corporate,4,1455.0,-152.76,0.156,Mid Value,3763.0,728.0
AG-106751,Anna Gayman,Consumer,3,3644.0,360.43,0.25,Mid Value,3763.0,728.0
AG-106752,Anna Gayman,Consumer,7,2284.0,206.21,0.188,Mid Value,3763.0,728.0
AG-106753,Anna Gayman,Consumer,4,3606.0,360.58,0.1,Mid Value,3763.0,728.0
AG-106754,Anna Gayman,Consumer,7,3489.0,-246.43,0.161,Mid Value,3763.0,728.0
AG-107651,Anthony Garverick,Home Office,4,1586.0,93.21,0.242,Mid Value,3763.0,728.0
AG-107652,Anthony Garverick,Home Office,6,2159.0,110.8,0.1,Mid Value,3763.0,728.0
AG-107653,Anthony Garverick,Home Office,13,5913.0,1055.0,0.133,High Value,3763.0,728.0
AG-107654,Anthony Garverick,Home Office,4,170.0,-8.43,0.46,Low Value,3763.0,728.0
AG-109001,Arthur Gainer,Consumer,8,5035.0,359.28,0.12,High Value,3763.0,728.0
AG-109002,Arthur Gainer,Consumer,8,3108.0,551.18,0.063,Mid Value,3763.0,728.0
AG-109003,Arthur Gainer,Consumer,3,5519.0,625.63,0.022,High Value,3763.0,728.0
AG-109004,Arthur Gainer,Consumer,10,4511.0,343.68,0.167,High Value,3763.0,728.0
AG-2701,Alejandro Grove,Consumer,5,1997.0,232.11,0.0,Mid Value,3763.0,728.0
AG-2702,Alejandro Grove,Consumer,1,296.0,55.44,0.0,Low Value,3763.0,728.0
AG-2703,Alejandro Grove,Consumer,2,486.0,163.03,0.3,Low Value,3763.0,728.0
AG-3001,Aleksandra Gannaway,Corporate,2,866.0,-802.45,0.28,Mid Value,3763.0,728.0
AG-3002,Aleksandra Gannaway,Corporate,4,835.0,-270.17,0.25,Mid Value,3763.0,728.0
AG-3301,Alex Grayson,Consumer,6,513.0,74.2,0.322,Low Value,3763.0,728.0
AG-3302,Alex Grayson,Consumer,1,20.0,3.3,0.0,Low Value,3763.0,728.0
AG-3901,Allen Goldenen,Consumer,2,414.0,-504.77,0.6,Low Value,3763.0,728.0
AG-3902,Allen Goldenen,Consumer,2,59.0,-43.7,0.4,Low Value,3763.0,728.0
AG-4951,Andrew Gjertsen,Corporate,3,469.0,48.66,0.0,Low Value,3763.0,728.0
AG-4952,Andrew Gjertsen,Corporate,2,52.0,9.15,0.0,Low Value,3763.0,728.0
AG-4953,Andrew Gjertsen,Corporate,6,482.0,-164.66,0.36,Low Value,3763.0,728.0
AG-5251,Andy Gerbode,Corporate,6,802.0,-211.64,0.391,Mid Value,3763.0,728.0
AG-5252,Andy Gerbode,Corporate,1,2067.0,345.0,0.0,Mid Value,3763.0,728.0
AG-6751,Anna Gayman,Consumer,6,774.0,-318.02,0.35,Mid Value,3763.0,728.0
AG-6752,Anna Gayman,Consumer,4,1595.0,560.29,0.171,Mid Value,3763.0,728.0
AG-7651,Anthony Garverick,Home Office,4,769.0,-891.06,0.3,Mid Value,3763.0,728.0
AG-7652,Anthony Garverick,Home Office,4,1090.0,-184.22,0.343,Mid Value,3763.0,728.0
AG-9001,Arthur Gainer,Consumer,4,1698.0,-146.52,0.37,Mid Value,3763.0,728.0
AH-100301,Aaron Hawkins,Corporate,6,4154.0,911.4,0.206,High Value,3763.0,728.0
AH-100302,Aaron Hawkins,Corporate,8,3973.0,981.59,0.065,High Value,3763.0,728.0
AH-100303,Aaron Hawkins,Corporate,6,4568.0,343.22,0.139,High Value,3763.0,728.0
AH-100304,Aaron Hawkins,Corporate,7,1744.0,365.22,0.091,Mid Value,3763.0,728.0
AH-100751,Adam Hart,Corporate,9,7291.0,-928.87,0.146,High Value,3763.0,728.0
AH-100752,Adam Hart,Corporate,9,4526.0,528.41,0.063,High Value,3763.0,728.0
AH-100753,Adam Hart,Corporate,6,3044.0,1105.31,0.2,Mid Value,3763.0,728.0
AH-100754,Adam Hart,Corporate,10,3251.0,281.19,0.135,Mid Value,3763.0,728.0
AH-101201,Adrian Hane,Home Office,3,558.0,28.51,0.067,Low Value,3763.0,728.0
AH-101202,Adrian Hane,Home Office,6,3590.0,905.51,0.092,Mid Value,3763.0,728.0
AH-101203,Adrian Hane,Home Office,6,4044.0,773.43,0.072,High Value,3763.0,728.0
AH-101204,Adrian Hane,Home Office,7,1736.0,-2.31,0.238,Mid Value,3763.0,728.0
AH-101951,Alan Haines,Corporate,6,3839.0,-308.28,0.182,High Value,3763.0,728.0
AH-101952,Alan Haines,Corporate,9,1833.0,391.05,0.024,Mid Value,3763.0,728.0
AH-101953,Alan Haines,Corporate,6,5370.0,454.69,0.156,High Value,3763.0,728.0
AH-101954,Alan Haines,Corporate,4,1588.0,-378.55,0.35,Mid Value,3763.0,728.0
AH-102101,Alan Hwang,Consumer,2,1111.0,271.98,0.0,Mid Value,3763.0,728.0
AH-102102,Alan Hwang,Consumer,11,7417.0,1478.28,0.062,High Value,3763.0,728.0
AH-102103,Alan Hwang,Consumer,12,7031.0,1080.85,0.175,High Value,3763.0,728.0
AH-102104,Alan Hwang,Consumer,9,4805.0,1308.55,0.092,High Value,3763.0,728.0
AH-104651,Amy Hunt,Consumer,6,2183.0,314.89,0.124,Mid Value,3763.0,728.0
AH-104652,Amy Hunt,Consumer,2,251.0,59.75,0.05,Low Value,3763.0,728.0
AH-104653,Amy Hunt,Consumer,7,3621.0,433.37,0.016,Mid Value,3763.0,728.0
AH-104654,Amy Hunt,Consumer,5,2495.0,-196.12,0.14,Mid Value,3763.0,728.0
AH-105851,Angele Hood,Consumer,9,6205.0,1046.58,0.105,High Value,3763.0,728.0
AH-105852,Angele Hood,Consumer,5,1615.0,437.33,0.083,Mid Value,3763.0,728.0
AH-105853,Angele Hood,Consumer,4,567.0,-109.52,0.25,Low Value,3763.0,728.0
AH-105854,Angele Hood,Consumer,4,738.0,83.96,0.12,Mid Value,3763.0,728.0
AH-106901,Anna HÃ¤berlin,Corporate,6,4163.0,552.99,0.025,High Value,3763.0,728.0
AH-106902,Anna HÃ¤berlin,Corporate,9,3514.0,790.01,0.02,Mid Value,3763.0,728.0
AH-106903,Anna HÃ¤berlin,Corporate,4,710.0,154.83,0.001,Low Value,3763.0,728.0
AH-106904,Anna HÃ¤berlin,Corporate,12,7889.0,1298.02,0.217,High Value,3763.0,728.0
AH-1201,Adrian Hane,Home Office,3,1476.0,379.62,0.0,Mid Value,3763.0,728.0
AH-1202,Adrian Hane,Home Office,1,2.0,-3.38,0.7,Low Value,3763.0,728.0
AH-1951,Alan Haines,Corporate,2,80.0,-99.29,0.7,Low Value,3763.0,728.0
AH-1952,Alan Haines,Corporate,1,88.0,29.7,0.0,Low Value,3763.0,728.0
AH-1953,Alan Haines,Corporate,6,2483.0,-681.56,0.231,Mid Value,3763.0,728.0
AH-2101,Alan Hwang,Consumer,2,3090.0,423.6,0.0,Mid Value,3763.0,728.0
AH-2102,Alan Hwang,Consumer,2,187.0,-220.89,0.4,Low Value,3763.0,728.0
AH-301,Aaron Hawkins,Corporate,4,5072.0,-576.62,0.438,High Value,3763.0,728.0
AH-302,Aaron Hawkins,Corporate,3,1248.0,426.12,0.0,Mid Value,3763.0,728.0
AH-4651,Amy Hunt,Consumer,2,540.0,129.84,0.0,Low Value,3763.0,728.0
AH-4652,Amy Hunt,Consumer,2,112.0,-23.39,0.5,Low Value,3763.0,728.0
AH-5851,Angele Hood,Consumer,2,889.0,416.67,0.0,Mid Value,3763.0,728.0
AH-5852,Angele Hood,Consumer,7,1343.0,-264.95,0.386,Mid Value,3763.0,728.0
AH-6901,Anna HÃ¤berlin,Corporate,3,948.0,-492.61,0.4,Mid Value,3763.0,728.0
AH-6902,Anna HÃ¤berlin,Corporate,2,869.0,162.78,0.2,Mid Value,3763.0,728.0
AH-751,Adam Hart,Corporate,6,3426.0,842.31,0.0,Mid Value,3763.0,728.0
AH-752,Adam Hart,Corporate,1,137.0,54.9,0.0,Low Value,3763.0,728.0
AH-753,Adam Hart,Corporate,1,45.0,18.78,0.0,Low Value,3763.0,728.0
AI-108551,Arianne Irving,Consumer,4,1859.0,266.59,0.234,Mid Value,3763.0,728.0
AI-108552,Arianne Irving,Consumer,7,2105.0,473.18,0.062,Mid Value,3763.0,728.0
AI-108553,Arianne Irving,Consumer,1,20.0,5.26,0.0,Low Value,3763.0,728.0
AI-108554,Arianne Irving,Consumer,10,4376.0,867.73,0.072,High Value,3763.0,728.0
AI-8551,Arianne Irving,Consumer,1,30.0,4.83,0.0,Low Value,3763.0,728.0
AI-8552,Arianne Irving,Consumer,3,891.0,-79.42,0.133,Mid Value,3763.0,728.0
AJ-107801,Anthony Jacobs,Corporate,5,5821.0,988.01,0.235,High Value,3763.0,728.0
AJ-107802,Anthony Jacobs,Corporate,7,3898.0,576.25,0.178,High Value,3763.0,728.0
AJ-107803,Anthony Jacobs,Corporate,6,601.0,69.27,0.138,Low Value,3763.0,728.0
AJ-107804,Anthony Jacobs,Corporate,7,4868.0,150.71,0.087,High Value,3763.0,728.0
AJ-107951,Anthony Johnson,Corporate,6,1209.0,209.39,0.044,Mid Value,3763.0,728.0
AJ-107952,Anthony Johnson,Corporate,6,2249.0,384.97,0.05,Mid Value,3763.0,728.0
AJ-107953,Anthony Johnson,Corporate,3,930.0,108.03,0.156,Mid Value,3763.0,728.0
AJ-107954,Anthony Johnson,Corporate,7,4501.0,1158.71,0.083,High Value,3763.0,728.0
AJ-109451,Ashley Jarboe,Consumer,9,2329.0,395.51,0.158,Mid Value,3763.0,728.0
AJ-109452,Ashley Jarboe,Consumer,7,3402.0,945.83,0.1,Mid Value,3763.0,728.0
AJ-109453,Ashley Jarboe,Consumer,6,3517.0,-294.84,0.256,Mid Value,3763.0,728.0
AJ-109454,Ashley Jarboe,Consumer,7,1839.0,521.14,0.04,Mid Value,3763.0,728.0
AJ-109601,Astrea Jones,Consumer,4,1709.0,135.91,0.257,Mid Value,3763.0,728.0
AJ-109602,Astrea Jones,Consumer,6,4502.0,914.07,0.053,High Value,3763.0,728.0
AJ-109603,Astrea Jones,Consumer,4,1792.0,408.27,0.055,Mid Value,3763.0,728.0
AJ-109604,Astrea Jones,Consumer,3,629.0,60.43,0.04,Low Value,3763.0,728.0
AJ-7801,Anthony Jacobs,Corporate,7,1608.0,-811.6,0.5,Mid Value,3763.0,728.0
AJ-7802,Anthony Jacobs,Corporate,1,19.0,6.81,0.0,Low Value,3763.0,728.0
AJ-7803,Anthony Jacobs,Corporate,4,942.0,192.78,0.0,Mid Value,3763.0,728.0
AJ-7951,Anthony Johnson,Corporate,5,1276.0,160.32,0.0,Mid Value,3763.0,728.0
AJ-7952,Anthony Johnson,Corporate,5,2119.0,457.17,0.16,Mid Value,3763.0,728.0
AJ-9451,Ashley Jarboe,Consumer,5,3817.0,1272.98,0.117,High Value,3763.0,728.0
AJ-9452,Ashley Jarboe,Consumer,2,1045.0,166.08,0.0,Mid Value,3763.0,728.0
AJ-9601,Astrea Jones,Consumer,6,4071.0,1417.22,0.1,High Value,3763.0,728.0
AJ-9602,Astrea Jones,Consumer,4,556.0,-404.53,0.6,Low Value,3763.0,728.0
AM-103601,Alice McCarthy,Corporate,8,3217.0,291.96,0.059,Mid Value,3763.0,728.0
AM-103602,Alice McCarthy,Corporate,11,8940.0,2375.5,0.067,High Value,3763.0,728.0
AM-103603,Alice McCarthy,Corporate,9,3759.0,-113.97,0.126,Mid Value,3763.0,728.0
AM-103604,Alice McCarthy,Corporate,5,813.0,194.99,0.125,Mid Value,3763.0,728.0
AM-107051,Anne McFarland,Consumer,10,11719.0,-250.29,0.208,High Value,3763.0,728.0
AM-107052,Anne McFarland,Consumer,7,6094.0,1797.75,0.047,High Value,3763.0,728.0
AM-107053,Anne McFarland,Consumer,5,742.0,95.45,0.075,Mid Value,3763.0,728.0
AM-107054,Anne McFarland,Consumer,8,5665.0,1085.73,0.064,High Value,3763.0,728.0
AM-3601,Alice McCarthy,Corporate,4,435.0,-94.68,0.1,Low Value,3763.0,728.0
AM-3602,Alice McCarthy,Corporate,2,1601.0,324.06,0.0,Mid Value,3763.0,728.0
AM-7051,Anne McFarland,Consumer,4,867.0,297.96,0.0,Mid Value,3763.0,728.0
AM-7052,Anne McFarland,Consumer,1,24.0,9.72,0.0,Low Value,3763.0,728.0
AM-7053,Anne McFarland,Consumer,1,411.0,202.26,0.0,Low Value,3763.0,728.0
AO-108101,Anthony O'Donnell,Corporate,12,7085.0,-88.95,0.228,High Value,3763.0,728.0
AO-108102,Anthony O'Donnell,Corporate,10,5657.0,786.61,0.048,High Value,3763.0,728.0
AO-108103,Anthony O'Donnell,Corporate,4,1636.0,318.64,0.0,Mid Value,3763.0,728.0
AO-108104,Anthony O'Donnell,Corporate,1,161.0,12.1,0.2,Low Value,3763.0,728.0
AO-8101,Anthony O'Donnell,Corporate,1,24.0,-32.46,0.7,Low Value,3763.0,728.0
AO-8102,Anthony O'Donnell,Corporate,1,386.0,90.21,0.0,Low Value,3763.0,728.0
AO-8103,Anthony O'Donnell,Corporate,3,76.0,6.96,0.0,Low Value,3763.0,728.0
AP-107201,Anne Pryor,Home Office,7,9040.0,1631.82,0.114,High Value,3763.0,728.0
AP-107202,Anne Pryor,Home Office,2,1763.0,324.6,0.0,Mid Value,3763.0,728.0
AP-107203,Anne Pryor,Home Office,3,2919.0,695.25,0.113,Mid Value,3763.0,728.0
AP-107204,Anne Pryor,Home Office,8,1639.0,285.79,0.163,Mid Value,3763.0,728.0
AP-109151,Arthur Prichep,Consumer,9,9049.0,1413.63,0.058,High Value,3763.0,728.0
AP-109152,Arthur Prichep,Consumer,6,1435.0,-0.96,0.093,Mid Value,3763.0,728.0
AP-109153,Arthur Prichep,Consumer,7,2070.0,428.12,0.12,Mid Value,3763.0,728.0
AP-109154,Arthur Prichep,Consumer,10,3324.0,579.31,0.094,Mid Value,3763.0,728.0
AP-7201,Anne Pryor,Home Office,4,423.0,119.68,0.087,Low Value,3763.0,728.0
AP-7202,Anne Pryor,Home Office,2,576.0,-64.38,0.233,Low Value,3763.0,728.0
AP-9151,Arthur Prichep,Consumer,3,2151.0,685.05,0.0,Mid Value,3763.0,728.0
AP-9152,Arthur Prichep,Consumer,2,517.0,32.46,0.15,Low Value,3763.0,728.0
AR-103451,Alex Russell,Corporate,9,4462.0,1030.91,0.136,High Value,3763.0,728.0
AR-103452,Alex Russell,Corporate,9,7043.0,771.62,0.231,High Value,3763.0,728.0
